Sample,Cell_line,Treatment,Cell_type
Gan_b4_1,1,ctrl,Celltype#1
Gan_b4_2,1,ctrl,Celltype#1
Gan_b4_3,1,ctrl,Celltype#1
Gan_b4_4,1,ctrl,Celltype#1
Gan_b4_5,1,ctrl,Celltype#1
Gan_b4_6,1,K18,Celltype#1
Gan_b4_7,1,K18,Celltype#1
Gan_b4_8,1,K18,Celltype#1
Gan_b4_9,1,K18,Celltype#1
Gan_b4_10,2,ctrl,Celltype#2
Gan_b4_11,2,ctrl,Celltype#2
Gan_b4_12,2,ctrl,Celltype#2
Gan_b4_13,2,ctrl,Celltype#2
Gan_b4_15,2,K18,Celltype#2
Gan_b4_16,2,K18,Celltype#2
Gan_b4_17,2,K18,Celltype#2
Gan_b4_18,2,K18,Celltype#2
